index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
29,Software Quality Assurance Analyst,$70K - $90K (Employer est.),-1,Quire,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
30,Data Analyst-FI,$60K - $104K (Glassdoor est.),4.2,Colgate-Palmolive,"Piscataway, NJ",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
31,Contract Analyst,$71K - $85K (Employer est.),3.4,Portland Public Schools,"Portland, OR",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
32,Clinical Application Data Analyst,$56K - $104K (Glassdoor est.),4.5,Kahuku Medical Center,"Kahuku, HI",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
33,Data Analyst,$45K - $87K (Glassdoor est.),3.8,BAE Systems,"San Antonio, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
34,Technical Business Analyst,$75K - $105K (Employer est.),-1,Aura Innovative Technology,,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
35,"Senior Data Analyst, Merchandising Analytics",$52K - $97K (Glassdoor est.),2.9,GameStop,"Grapevine, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
36,Data Analyst,$41K - $80K (Glassdoor est.),-1,ALLCARE HEALTH,"Grants Pass, OR",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
37,Application Analyst - EPIC Ambulatory - 100% remote (Must live in Texas),$35K - $80K (Glassdoor est.),4.2,Houston Methodist,"Houston, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
38,"Application Analyst II, Remote Opportunity",$43K - $88K (Glassdoor est.),4.5,Wellforce,"Burlington, MA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
39,Insights Analyst,$73K - $103K (Employer est.),4.3,Indeed,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
40,Junior Oracle Technical Support Analyst,$100K (Employer est.),3.6,Global Partners,"Waltham, MA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
41,"Data Analyst with two years experience, Remote position",$90K (Employer est.),-1,"innoVet Health, LLC",Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
42,Portfolio Analyst,$75K - $100K (Employer est.),-1,Salem Investment Counselors,"Durham, NC",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
43,Data Analyst,$50K (Employer est.),1.9,GreenWorks Tools,"Mooresville, NC",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
44,Lead Data Analyst - REMOTE,$54K - $110K (Glassdoor est.),3.5,Mercy,"Chesterfield, MO",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
45,Operations Analyst,$55K - $100K (Employer est.),-1,Oscar Gruss and Sons Inc.,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
46,Data Analyst,$48K - $84K (Glassdoor est.),2.8,Cataldo Ambulance,"Somerville, MA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
47,Data Analyst,$100K - $130K (Employer est.),4.8,IntraFi Network,"Arlington, VA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
48,Data Analyst-Remote,-1,3.9,Boston Medical Center,"Boston, MA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
49,Data Analyst - Remote,$65K (Employer est.),4.4,GLOBO Corporate,"Philadelphia, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
50,Data Analyst,$60K - $120K (Employer est.),4.9,"Raybeam, Inc.","Denver, CO",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
51,Privacy Analyst (Open to Remote),$49K - $66K (Employer est.),4.3,Indeed,"Austin, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
52,Demand Planning Analyst,$90K (Employer est.),3.9,Dreamfields Brands Inc,"Los Angeles, CA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
53,"Data Analyst, L2",$63K - $105K (Employer est.),4.2,ManTech International Corporation,"Colorado Springs, CO",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
54,Data Visualization Analyst,$70K - $90K (Employer est.),-1,Brightfield Group,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
55,Solutions Analyst (Data Analytics & Reporting),$90K - $100K (Employer est.),4.5,SYSTEMTEC,"Columbia, SC",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
56,Jr. QA Analyst,$50K - $55K (Employer est.),4.4,Gridline,"Scottsdale, AZ",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
57,Business Applications Analyst,$50K - $75K (Employer est.),2.6,ConServe,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
58,Data Analyst,$70K - $100K (Employer est.),2.6,TENERE Inc,"Minneapolis, MN",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
59,Technical Business Analyst,$50 - $57 Per Hour(Employer est.),4.2,Synechron,"Charlotte, NC",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
60,Data Analyst-FI,$60K - $104K (Glassdoor est.),4.2,Colgate-Palmolive,"Piscataway, NJ",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
61,Clinical Application Data Analyst,$56K - $104K (Glassdoor est.),4.5,Kahuku Medical Center,"Kahuku, HI",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
62,Data Quality Analyst,$57K - $99K (Glassdoor est.),3.6,Invicro,"New Haven, CT",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
63,Data Analyst,$45K - $87K (Glassdoor est.),3.8,BAE Systems,"San Antonio, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
64,Lead Data Analyst - REMOTE,$54K - $110K (Glassdoor est.),3.5,Mercy,"Chesterfield, MO",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
65,Business Intelligence Analyst,$70K - $92K (Employer est.),-1,"OTR Wheel Engineering, Inc.","Gadsden, AL",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
66,Internal Control Analyst I - Advisor,$41K - $85K (Glassdoor est.),3.5,FedEx Ground Careers US,"Moon Township, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
67,"Data Analyst, L2",$63K - $105K (Employer est.),4.2,ManTech International Corporation,"Colorado Springs, CO",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
68,Solutions Analyst (Data Analytics & Reporting),$90K - $100K (Employer est.),4.5,SYSTEMTEC,"Columbia, SC",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
69,Quality Assurance Analyst,-1,-1,Skywriter MD,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
70,Enterprise Data - Regulatory Product Analyst,$81K - $168K (Glassdoor est.),4.1,Bloomberg,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
71,Data Analyst-Remote,-1,3.9,Boston Medical Center,"Boston, MA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
72,Data Analyst,$100K - $130K (Employer est.),4.8,IntraFi Network,"Arlington, VA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
73,Business Intelligence Analyst (**Remote Available**),-1,3.8,Vanderbilt University Medical Center,"Nashville, TN",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
74,Data Visualization Analyst,$70K - $90K (Employer est.),-1,Brightfield Group,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
75,Data Analyst,-1,4.0,Trexin Consulting,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
76,"Data Analyst - (Remote, US)",-1,4.0,AM LLC,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
77,Data Analyst - Remote,$65K (Employer est.),4.4,GLOBO Corporate,"Philadelphia, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
78,Junior Data Analyst,$43K - $83K (Glassdoor est.),3.8,Comcast,"West Chester, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
79,Application Analyst - LIS SoftLab,$52K - $95K (Glassdoor est.),4.2,Houston Methodist,"Houston, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
80,Remote Analyst,-1,-1,QHR Health,"Brentwood, TN",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
81,Data Analyst,-1,3.7,Tetra Tech Inc.,California,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
82,Salesforce Business Analyst (REMOTE),$75K - $115K (Employer est.),5.0,The Hunley Group,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
83,Reporting and Data Analyst II,$65K - $85K (Employer est.),-1,Ventegra Inc. A California Benefit Corporation,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
84,ITAM Software Analyst,$63K - $91K (Employer est.),4.3,Indeed,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
85,"Analyst, Business Intelligence",$66K - $114K (Glassdoor est.),3.8,Comcast,"Philadelphia, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
86,Sustainability Analyst,-1,5.0,Verdani Partners,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
87,Operations Analyst (Hybrid with Remote Work Options),$40K - $91K (Glassdoor est.),3.5,HealthFirst,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
88,Healthy Planet Epic Application Analyst - Remote,$70K - $80K (Employer est.),4.0,Premise Health,"Brentwood, TN",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
89,Jr. Deal Support Analyst (Remote),$50K - $60K (Employer est.),3.7,Covius,"Tampa, FL",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
90,Data Analyst-FI,$60K - $104K (Glassdoor est.),4.2,Colgate-Palmolive,"Piscataway, NJ",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
91,Power BI Healthcare Analyst,$75K - $85K (Employer est.),2.9,Tapestry Health,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
92,Technical Business Analyst,$75K - $105K (Employer est.),-1,Aura Innovative Technology,"Chicago, IL",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
93,Clinical Application Data Analyst,$56K - $104K (Glassdoor est.),4.5,Kahuku Medical Center,"Kahuku, HI",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
94,Data Quality Analyst,$57K - $99K (Glassdoor est.),3.6,Invicro,"New Haven, CT",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
95,Data Analyst,$45K - $87K (Glassdoor est.),3.8,BAE Systems,"San Antonio, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
96,Business Intelligence Analyst,$70K - $92K (Employer est.),-1,"OTR Wheel Engineering, Inc.","Gadsden, AL",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
97,Remote Contract Analyst,$38K - $68K (Glassdoor est.),3.4,Wipro Limited,"Canfield, OH",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
98,Business Analyst,$85K - $95K (Employer est.),3.6,Goodway Technologies,"Stamford, CT",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
99,Enterprise Data - Regulatory Product Analyst,$81K - $168K (Glassdoor est.),4.1,Bloomberg,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
100,Data Analyst,$49K - $87K (Glassdoor est.),4.3,Cox Enterprises,"Atlanta, GA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
101,Business Analyst,$49K - $105K (Glassdoor est.),3.4,Crescent Bank,"Carrollton, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
102,Data Analyst-Remote,-1,3.9,Boston Medical Center,"Boston, MA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
103,junior Level Business Analyst,$30 - $35 Per Hour(Employer est.),3.8,Agama Solutions,"California, MD",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
104,Credentialing Data Analyst,$32K - $61K (Glassdoor est.),3.3,Amerihealth,"Baton Rouge, LA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
105,Business Intelligence Analyst (**Remote Available**),-1,3.8,Vanderbilt University Medical Center,"Nashville, TN",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
106,Junior Data Analyst,$43K - $83K (Glassdoor est.),3.8,Comcast,"West Chester, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
107,Population Health Data Analyst,-1,-1,CBHS,"Goshen, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
108,Operations Data Analyst,$75K (Employer est.),3.7,thredUP Inc,"Mechanicsburg, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
109,Data Analyst,$100K - $130K (Employer est.),4.8,IntraFi Network,"Arlington, VA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
110,Business Analyst,-1,3.8,Datix,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
111,Data Analyst,-1,3.7,Tetra Tech Inc.,California,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
112,Business Analyst,$70K - $75K (Employer est.),4.5,TruHearing,"Draper, UT",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
113,Data Analyst,$76K - $87K (Employer est.),2.4,New York City Department of Correction,"Queens Village, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
114,Operations Analyst (Hybrid with Remote Work Options),$40K - $91K (Glassdoor est.),3.5,HealthFirst,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
115,Jr. Deal Support Analyst (Remote),$50K - $60K (Employer est.),3.7,Covius,"Tampa, FL",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
116,Data Analyst,$40 - $43 Per Hour(Employer est.),2.6,Proteam Solutions Inc.,"Columbus, OH",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
117,Technical Business Analyst,-1,4.7,"Counterpointe Solutions, Inc.",California,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
118,Application Analyst - LIS SoftLab,$52K - $95K (Glassdoor est.),4.2,Houston Methodist,"Houston, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
119,Data Analyst,$65K - $80K (Employer est.),-1,ASHLIN Management Group,"Bowie, MD",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
120,Data Analyst-FI,$60K - $104K (Glassdoor est.),4.2,Colgate-Palmolive,"Piscataway, NJ",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
121,Power BI Healthcare Analyst,$75K - $85K (Employer est.),2.9,Tapestry Health,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
122,Clinical Application Data Analyst,$56K - $104K (Glassdoor est.),4.5,Kahuku Medical Center,"Kahuku, HI",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
123,Junior Oracle Technical Support Analyst,$100K (Employer est.),3.6,Global Partners,"Waltham, MA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
124,Jr. Deal Support Analyst (Remote),$50K - $60K (Employer est.),3.7,Covius,"Tampa, FL",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
125,Jr. QA Analyst,$50K - $55K (Employer est.),4.4,Gridline,"Scottsdale, AZ",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
126,Enterprise Data - Regulatory Product Analyst,$81K - $168K (Glassdoor est.),4.1,Bloomberg,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
127,junior Level Business Analyst,$30 - $35 Per Hour(Employer est.),3.8,Agama Solutions,"California, MD",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
128,Data Analyst,$49K - $87K (Glassdoor est.),4.3,Cox Enterprises,"Atlanta, GA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
129,Business Analyst,$49K - $105K (Glassdoor est.),3.4,Crescent Bank,"Carrollton, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
130,Data Analyst,$100K - $130K (Employer est.),4.8,IntraFi Network,"Arlington, VA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
131,Junior Data Analyst,$43K - $83K (Glassdoor est.),3.8,Comcast,"West Chester, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
132,Operations Analyst (Hybrid with Remote Work Options),$40K - $91K (Glassdoor est.),3.5,HealthFirst,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
133,"Analyst Development Program - Seattle, WA / REMOTE (July/Sept 2022)",$66K (Employer est.),3.8,Liberty Mutual Insurance,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
134,Data Analyst,$40 - $43 Per Hour(Employer est.),2.6,Proteam Solutions Inc.,"Columbus, OH",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
135,Application Analyst - LIS SoftLab,$52K - $95K (Glassdoor est.),4.2,Houston Methodist,"Houston, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
136,"Analyst, Business Intelligence",$66K - $114K (Glassdoor est.),3.8,Comcast,"Philadelphia, PA",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
137,Pay Analyst,$32 Per Hour(Employer est.),4.6,The Mom Project,"Austin, TX",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
138,Category Analyst,$45 Per Hour(Employer est.),-1,Insight Global,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
139,Business Analyst,$48 - $54 Per Hour(Employer est.),4.0,"DIVERSANT, LLC","Saint Louis, MO",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
140,Data Analyst,$75K - $80K (Employer est.),3.7,Northwest Energy Efficiency Alliance,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
141,Data Analyst,$49K - $101K (Glassdoor est.),3.7,Dow Jones,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
142,Business Data Analyst with Pharma Exp.,$70 - $80 Per Hour(Employer est.),-1,Combined Computer Resources,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
143,Healthy Planet Epic Application Analyst - Remote,$70K - $80K (Employer est.),4.0,Premise Health,"Brentwood, TN",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
144,Technology Analyst,$59K - $98K (Employer est.),4.0,Ohio University,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
145,Remote Workforce Real Time Scheduling Analyst,$73K (Employer est.),3.2,"CONNECT, powered by American Family Insurance","De Pere, WI",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
146,Business Analyst,$59K - $115K (Glassdoor est.),4.5,Ursus,"New York, NY",1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
147,Customer Experience Analyst,$53K - $70K (Employer est.),3.3,Horace Mann Service Corporation,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
148,Staff Optimization Analyst,-1,3.1,US Acute Care Solutions,Remote,1001 to 5000 Employees,Company - Public,Health Care,Health Care,-1,Health Care Services & Hospitals
